millis,esp2,esp3,esp4,esp5
377,0.64874628,,,
379.2710843,0.610375744,,,
381.5421687,0.559570312,,,
383.813253,0.559570312,,,
386.0843373,0.558504464,,,
388.3554217,0.558504464,,,
390.626506,0.562057292,,,
392.8975904,0.55921503,,,
395.1686747,0.562767857,,,
397.439759,0.561346726,,,
399.7108434,0.598296131,,,
401.9819277,0.573426339,,,
404.253012,0.591901042,,,
406.5240964,0.572360491,,,
408.7951807,0.57484747,,,
411.0662651,0.568097098,,,
413.3373494,0.573781622,,,
415.6084337,0.590835193,,,
417.8795181,0.641995908,,,
420.1506024,0.643061756,,,
422.4216867,0.645548735,,,
424.6927711,0.645548735,,,
426.9638554,0.644482887,,,
429.2349398,0.645193452,,,
431.5060241,0.644482887,,,
433.7771084,0.64483817,,,
436.0481928,0.645548735,,,
438.3192771,0.644482887,,,
440.5903614,0.646259301,,,
442.8614458,0.646259301,,,
445.1325301,0.64483817,,,
447.4036145,0.645548735,,,
449.6746988,0.640219494,,,
451.9457831,0.582308408,,,
454.2168675,0.586927083,,,
456.4879518,0.568452381,,,
458.7590361,0.60469122,,,
461.0301205,0.57484747,,,
463.3012048,0.584795387,,,
465.5722892,0.56703125,,,
467.8433735,0.575558036,,,
470.1144578,0.562767857,,,
472.3855422,0.574136905,,,
474.6566265,0.576623884,,,
476.9277108,0.566320685,,,
479.1987952,0.608244048,,,
481.4698795,0.568452381,,,
483.7409639,0.610375744,,,
486.0120482,0.570228795,,,
488.2831325,0.616060268,,,
490.5542169,0.595809152,,,
492.8253012,0.591545759,,,
495.0963855,0.616770833,,,
497.3674699,0.580887277,,,
499.6385542,0.625297619,,,
501.9096386,0.575558036,,,
504.1807229,0.590124628,,,
506.4518072,0.572005208,,,
508.7228916,0.574136905,,,
510.9939759,0.566320685,,,
513.2650602,0.573426339,,,
515.5361446,0.576979167,,,
517.8072289,0.574136905,,,
520.0783133,0.591190476,,,
522.3493976,0.573071057,,,
524.6204819,0.590835193,,,
526.8915663,0.569518229,,,
529.1626506,0.605046503,,,
531.4337349,0.568452381,,,
533.7048193,0.620323661,,,
535.9759036,0.596519717,,,
538.246988,0.601493676,,,
540.5180723,0.617836682,,,
542.7891566,0.588703497,,,
545.060241,0.621744792,,,
547.3313253,0.581597842,,,
549.6024096,0.627074033,,,
551.873494,0.591190476,,,
554.1445783,0.611441592,,,
556.4156627,0.574492188,,,
558.686747,0.581953125,,,
560.9578313,0.568452381,,,
563.2289157,0.578045015,,,
565.5,0.567741815,,,
567.7710843,0.640574777,,,
570.0421687,0.643417039,,,
572.313253,0.644482887,,,
574.5843373,0.64483817,,,
576.8554217,0.644482887,,,
579.126506,0.64483817,,,
581.3975904,0.646259301,,,
583.6686747,0.64483817,,,
585.939759,0.645548735,,,
588.2108434,0.645904018,,,
590.4819277,0.645904018,,,
592.753012,0.646969866,,,
595.0240964,0.647325149,,,
597.2951807,0.64483817,,,
599.5662651,0.645548735,,,
601.8373494,0.645904018,,,
604.1084337,0.64483817,,,
606.3795181,0.645193452,,,
608.6506024,0.64483817,,,
610.9216867,0.646259301,,,
613.1927711,0.645548735,,,
615.4638554,0.646614583,,,
617.7349398,0.645548735,,,
620.0060241,0.646259301,,,
622.2771084,0.645904018,,,
624.5481928,0.64483817,,,
626.8192771,0.646614583,,,
629.0903614,0.647680432,,,
631.3614458,0.647325149,,,
633.6325301,0.646259301,,,
635.9036145,0.64483817,,,
638.1746988,0.645904018,,,
640.4457831,0.647680432,,,
642.7168675,0.647325149,,,
644.9879518,0.646259301,,,
647.2590361,0.646259301,,,
649.5301205,0.645548735,,,
651.8012048,0.646259301,,,
654.0722892,0.647325149,,,
656.3433735,0.647325149,,,
658.6144578,0.645548735,,,
660.8855422,0.645904018,,,
663.1566265,0.646969866,,,
665.4277108,0.645904018,,,
667.6987952,0.645548735,,,
669.9698795,0.646614583,,,
